Rotational Speed,Torque,Tool Wear,Failure,Failure_Type,Temperature_K
1406,52.37,170.2,0,No Failure,317.46
1419,73.2,112.0,1,Power Failure,335.53999999999996
1527,59.64,72.9,0,No Failure,347.14
999,50.1,43.1,0,No Failure,309.91999999999996
1361,64.03,127.2,0,No Failure,326.01
1631,52.54,81.8,0,No Failure,315.38
1628,38.56,110.7,0,No Failure,329.71
1955,28.98,100.7,0,No Failure,347.14
2194,37.03,88.3,0,No Failure,327.34
2079,44.44,132.6,0,No Failure,332.53
1870,47.45,148.3,0,No Failure,352.07
1498,15.11,232.9,1,Tool Wear Failure,339.09999999999997
1332,41.93,160.5,0,No Failure,323.27
1556,45.4,210.6,0,No Failure,335.21999999999997
1755,52.67,65.9,0,No Failure,322.39
1838,67.78,18.9,1,Power Failure,338.62
1768,47.6,114.1,0,No Failure,339.84999999999997
1508,32.27,166.5,0,No Failure,315.38
1825,19.55,157.1,0,No Failure,335.42999999999995
1991,54.62,187.7,1,Power Failure,331.62
1858,32.83,0.0,0,No Failure,340.22999999999996
1539,57.14,190.2,1,Tool Wear Failure,343.96
1258,64.56,135.1,0,No Failure,339.35999999999996
1250,23.38,22.4,0,No Failure,329.21
1312,52.75,158.4,0,No Failure,345.28
1640,63.1,125.2,0,No Failure,321.79999999999995
1732,59.27,137.9,1,Power Failure,315.97999999999996
1055,15.65,174.9,0,No Failure,308.15
1374,33.05,140.8,0,No Failure,332.24
1635,27.08,26.6,0,No Failure,322.46999999999997
1235,52.33,106.4,0,No Failure,338.32
1702,50.79,17.9,0,No Failure,308.15
1442,10.0,153.9,0,No Failure,324.74
1297,40.79,198.9,0,No Failure,339.26
1569,56.21,40.5,0,No Failure,319.76
1687,47.07,74.7,0,No Failure,338.46999999999997
1253,47.05,62.1,0,No Failure,325.90999999999997
1465,39.89,87.8,0,No Failure,332.71999999999997
1714,30.17,139.7,0,No Failure,340.89
1283,44.76,88.4,0,No Failure,345.53999999999996
970,45.73,154.2,0,No Failure,334.34999999999997
1012,53.61,178.9,0,No Failure,322.57
1404,54.75,181.1,0,No Failure,327.2
1089,46.2,47.9,0,No Failure,341.42999999999995
1428,60.33,198.2,0,No Failure,319.87
2133,39.75,203.0,1,Tool Wear Failure,330.84
1067,24.78,208.2,0,No Failure,328.13
1451,51.68,105.5,0,No Failure,331.80999999999995
2296,46.77,69.9,1,Power Failure,320.03
1693,51.96,55.9,0,No Failure,309.07
1421,27.3,48.9,0,No Failure,339.91999999999996
1495,70.07,115.7,1,Power Failure,345.67999999999995
1700,54.95,165.9,0,No Failure,309.84999999999997
2144,40.97,193.4,1,Tool Wear Failure,337.95
1364,31.9,85.9,0,No Failure,347.22999999999996
1285,60.08,112.7,0,No Failure,340.9
1067,29.58,108.7,0,No Failure,327.72999999999996
1586,76.66,76.9,1,Power Failure,320.88
1058,36.42,159.1,0,No Failure,334.2
1388,69.09,136.8,1,Tool Wear Failure,336.37
1232,42.42,123.5,0,No Failure,334.4
1926,67.13,136.5,1,Power Failure,330.80999999999995
1372,34.71,151.9,0,No Failure,319.08
1689,45.26,151.3,0,No Failure,338.64
989,56.27,64.7,0,No Failure,339.27
1596,54.27,168.8,0,No Failure,335.76
1129,60.41,130.3,0,No Failure,334.59
1401,38.18,88.9,0,No Failure,354.97999999999996
2324,46.19,129.1,1,Power Failure,325.03
1876,62.48,135.7,1,Power Failure,349.80999999999995
1505,35.13,179.9,0,No Failure,323.60999999999996
2600,53.02,52.2,1,Power Failure,347.57
1230,41.93,194.5,1,Tool Wear Failure,349.17999999999995
1958,47.88,116.4,0,No Failure,329.34
1014,46.18,84.6,0,No Failure,354.74
1465,33.96,82.8,0,No Failure,339.25
1078,41.35,54.9,0,No Failure,321.75
1640,47.03,10.5,0,No Failure,328.28999999999996
1570,43.56,155.6,0,No Failure,347.88
1442,67.02,233.9,1,Tool Wear Failure,345.15
1932,59.14,17.9,1,Power Failure,319.4
1352,49.06,58.0,0,No Failure,331.34
1664,34.32,160.1,0,No Failure,335.79999999999995
1837,33.46,112.3,0,No Failure,326.54999999999995
1031,72.63,165.1,1,Heat Dissipation Failure,363.79999999999995
1288,30.86,108.9,0,No Failure,336.19
1569,46.59,80.2,0,No Failure,332.34999999999997
1771,50.05,101.4,0,No Failure,348.63
2047,40.64,0.0,0,No Failure,328.4
1474,30.97,46.4,0,No Failure,346.25
1439,34.01,171.9,0,No Failure,311.46999999999997
1245,37.35,186.5,0,No Failure,327.25
1665,35.07,199.4,0,No Failure,346.78999999999996
1446,63.59,141.5,0,No Failure,353.55999999999995
1454,44.87,0.0,0,No Failure,323.09999999999997
1517,37.67,76.9,0,No Failure,321.58
1743,46.5,194.5,0,No Failure,340.53
1353,54.35,212.4,1,Tool Wear Failure,325.04999999999995
1280,40.18,196.8,0,No Failure,329.65999999999997
1701,57.63,100.8,0,No Failure,344.53999999999996
600,27.2,36.6,0,No Failure,326.08
1339,61.4,112.6,0,No Failure,308.15
1147,44.87,115.9,0,No Failure,316.24
1971,44.33,208.9,1,Tool Wear Failure,333.28
1396,35.3,128.7,0,No Failure,308.92999999999995
1354,27.81,116.0,0,No Failure,329.28999999999996
1533,21.67,119.4,0,No Failure,315.04999999999995
1342,34.32,139.0,0,No Failure,354.46999999999997
1409,53.23,152.6,0,No Failure,361.29999999999995
1584,31.54,71.5,0,No Failure,319.39
1402,23.32,51.5,0,No Failure,336.49
1400,32.27,197.2,0,No Failure,320.65999999999997
1196,39.61,16.5,0,No Failure,329.13
1146,40.16,213.3,1,Tool Wear Failure,356.59999999999997
1571,43.2,0.4,0,No Failure,327.08
1657,59.46,79.9,0,No Failure,329.42999999999995
1050,62.49,173.3,1,Tool Wear Failure,320.9
1816,73.08,115.0,1,Power Failure,348.04999999999995
1817,22.25,36.0,0,No Failure,308.15
1891,33.02,140.6,0,No Failure,327.39
1655,54.78,119.0,0,No Failure,332.54999999999995
1773,38.64,102.0,0,No Failure,324.55999999999995
2315,57.05,77.6,1,Power Failure,344.38
1444,47.9,112.9,0,No Failure,348.78
1184,67.11,80.1,0,No Failure,314.78999999999996
1013,59.6,260.0,1,Tool Wear Failure,360.37
2164,59.85,100.6,1,Power Failure,314.65
2169,39.23,92.6,1,Heat Dissipation Failure,349.9
1226,43.64,82.5,0,No Failure,335.09999999999997
1295,40.73,221.6,1,Tool Wear Failure,326.59999999999997
1437,23.92,16.7,0,No Failure,327.83
1978,65.6,136.6,1,Power Failure,332.71
1099,55.44,100.6,0,No Failure,335.85999999999996
862,40.17,29.6,0,No Failure,321.19
2309,63.26,65.9,1,Power Failure,330.10999999999996
1659,36.17,134.0,0,No Failure,323.13
1709,19.27,63.1,0,No Failure,317.34999999999997
1478,59.1,130.6,0,No Failure,322.52
1713,27.1,218.7,1,Tool Wear Failure,318.2
1020,42.26,125.2,0,No Failure,327.69
1256,47.89,27.8,0,No Failure,338.77
1587,50.4,64.2,0,No Failure,334.71999999999997
755,56.88,97.9,0,No Failure,358.82
1444,53.13,93.9,0,No Failure,308.15
1423,52.7,124.1,0,No Failure,339.25
1444,33.93,133.7,0,No Failure,333.22999999999996
1357,49.12,218.8,1,Tool Wear Failure,343.75
1201,23.92,114.8,0,No Failure,342.46
912,66.87,45.9,0,No Failure,331.01
1601,25.36,184.2,0,No Failure,335.39
1445,40.15,190.8,0,No Failure,323.47999999999996
1069,26.54,128.9,0,No Failure,341.13
1572,34.78,100.2,0,No Failure,308.71999999999997
1447,45.19,152.4,0,No Failure,343.25
1389,37.6,102.3,0,No Failure,332.84999999999997
795,61.02,0.0,0,No Failure,326.82
1789,48.18,148.8,0,No Failure,330.13
1118,38.52,168.5,0,No Failure,331.08
1572,43.13,201.5,1,Tool Wear Failure,350.01
1267,62.08,71.2,1,Heat Dissipation Failure,375.19
1414,57.72,128.6,0,No Failure,349.01
1953,29.06,129.9,0,No Failure,325.79999999999995
1736,35.47,120.1,0,No Failure,341.34
1946,51.65,121.9,0,No Failure,341.9
1666,49.95,117.2,0,No Failure,321.12
1689,30.29,127.7,0,No Failure,316.76
927,55.49,159.4,0,No Failure,332.33
1439,32.53,188.2,0,No Failure,343.65
1471,63.25,69.6,0,No Failure,312.2
1978,52.41,104.7,1,Power Failure,323.78
1373,29.15,89.6,0,No Failure,340.59
1643,37.59,81.1,0,No Failure,333.69
1629,37.35,18.0,0,No Failure,351.55999999999995
1955,47.24,116.5,0,No Failure,314.79999999999995
1503,42.14,143.8,1,Heat Dissipation Failure,363.72999999999996
1840,28.96,105.7,0,No Failure,313.15999999999997
953,25.48,114.5,0,No Failure,308.15
985,52.69,140.1,0,No Failure,332.38
751,49.01,199.7,0,No Failure,318.4
1825,46.48,89.8,0,No Failure,332.65
1786,48.79,44.7,0,No Failure,332.19
1864,36.34,109.6,0,No Failure,330.59999999999997
1313,47.58,228.0,1,Tool Wear Failure,322.2
1353,80.54,45.3,1,Tool Wear Failure,338.77
1508,61.44,154.0,0,No Failure,329.02
2055,40.96,184.5,1,Tool Wear Failure,347.5
2143,37.67,0.0,0,No Failure,330.80999999999995
1828,10.0,139.6,0,No Failure,320.60999999999996
1666,59.96,151.2,0,No Failure,311.21
2017,56.01,99.0,1,Power Failure,330.90999999999997
1460,37.39,76.2,0,No Failure,316.65
1413,24.96,79.6,0,No Failure,315.59999999999997
1505,28.83,95.3,0,No Failure,340.01
1207,51.22,96.9,0,No Failure,310.03999999999996
1489,43.75,85.6,0,No Failure,351.51
1159,54.68,94.3,0,No Failure,335.22999999999996
1909,46.21,186.4,0,No Failure,332.58
1740,58.53,42.1,0,No Failure,319.7
2050,50.17,10.1,1,Power Failure,343.09
980,56.6,187.4,0,No Failure,333.10999999999996
2216,15.74,103.5,0,No Failure,324.22999999999996
1000,27.72,91.7,0,No Failure,335.75
1131,39.9,108.3,0,No Failure,311.27
1333,60.11,127.6,0,No Failure,311.89
2008,71.33,83.6,1,Power Failure,318.59
1629,42.7,145.4,0,No Failure,337.69
1465,36.44,57.3,0,No Failure,333.10999999999996
1273,17.63,96.9,0,No Failure,346.78999999999996
1068,57.09,0.0,0,No Failure,321.19
1946,37.3,185.3,0,No Failure,340.62
1830,85.0,104.4,1,Power Failure,331.66999999999996
2023,34.65,155.2,0,No Failure,320.89
1689,74.47,143.6,1,Power Failure,338.15999999999997
625,55.48,148.0,0,No Failure,332.28999999999996
1114,30.6,114.5,0,No Failure,324.96999999999997
1713,48.25,138.3,0,No Failure,333.7
1421,55.8,57.3,0,No Failure,331.46999999999997
1354,41.85,44.7,0,No Failure,331.15
1164,56.73,108.9,0,No Failure,327.78999999999996
1882,56.42,74.2,0,No Failure,316.19
1710,53.35,200.5,1,Tool Wear Failure,334.12
1725,44.77,137.5,0,No Failure,322.71
1328,28.55,72.0,0,No Failure,319.89
1612,43.93,98.7,0,No Failure,330.02
1082,47.46,123.0,0,No Failure,342.69
1505,18.74,110.9,0,No Failure,335.55999999999995
665,47.37,131.3,0,No Failure,326.25
1001,43.64,119.1,0,No Failure,325.71999999999997
1437,26.85,31.6,0,No Failure,341.41999999999996
2381,40.34,0.0,1,Power Failure,308.15
920,40.63,92.6,0,No Failure,343.52
1115,72.02,148.6,0,No Failure,308.78999999999996
1626,48.08,93.3,0,No Failure,314.75
2169,59.5,189.2,1,Power Failure,326.46
1621,43.35,112.2,0,No Failure,361.35999999999996
1796,18.77,196.4,1,Tool Wear Failure,354.96
1432,54.41,184.1,0,No Failure,342.33
1371,35.79,178.1,0,No Failure,337.78999999999996
1579,40.3,42.8,0,No Failure,308.94
1320,30.26,116.0,0,No Failure,335.19
1803,46.02,188.4,0,No Failure,326.01
988,59.91,131.3,0,No Failure,322.53
1861,58.06,148.3,1,Power Failure,335.15999999999997
1564,67.21,31.7,1,Power Failure,327.03
1475,69.19,230.1,1,Tool Wear Failure,344.45
975,16.36,67.5,0,No Failure,308.15
1207,28.29,0.0,0,No Failure,334.13
1970,19.69,93.9,0,No Failure,321.71999999999997
1477,53.85,0.0,0,No Failure,327.82
1647,35.3,49.9,0,No Failure,337.10999999999996
1242,38.15,260.0,1,Tool Wear Failure,318.62
1540,41.97,92.2,0,No Failure,335.28999999999996
1070,50.36,29.3,0,No Failure,330.39
1585,24.21,116.5,0,No Failure,324.55999999999995
1680,27.38,61.1,0,No Failure,327.03
1662,45.02,166.9,0,No Failure,331.14
1234,61.78,61.6,0,No Failure,323.16999999999996
1430,44.64,131.2,0,No Failure,333.24
1738,33.92,46.2,0,No Failure,329.53
1476,14.93,260.0,1,Tool Wear Failure,325.2
1449,58.34,145.2,0,No Failure,353.82
2216,34.7,106.3,0,No Failure,338.54999999999995
1217,28.94,97.4,0,No Failure,328.16999999999996
1928,20.99,81.8,0,No Failure,335.04999999999995
1146,24.85,69.3,0,No Failure,319.79999999999995
1779,31.54,67.7,0,No Failure,327.46999999999997
1798,41.66,215.7,0,No Failure,328.99
1371,28.08,81.8,0,No Failure,316.94
1124,47.6,0.0,0,No Failure,338.19
860,41.55,45.0,0,No Failure,326.58
1335,76.11,170.7,1,Tool Wear Failure,328.53
1734,21.14,99.9,0,No Failure,325.76
1173,47.26,107.0,1,Heat Dissipation Failure,371.62
1584,47.44,185.2,0,No Failure,324.53999999999996
1033,30.57,68.4,0,No Failure,308.15
1468,46.33,152.9,0,No Failure,312.34999999999997
1149,55.77,74.9,0,No Failure,343.02
1523,46.35,149.6,0,No Failure,350.52
1375,64.38,91.5,0,No Failure,324.28999999999996
1133,14.51,100.5,0,No Failure,349.78
1319,33.21,164.2,0,No Failure,342.78999999999996
1223,65.65,159.9,0,No Failure,330.69
1090,57.77,105.1,0,No Failure,329.76
1929,52.57,86.7,1,Power Failure,335.5
1424,62.27,210.9,1,Tool Wear Failure,344.55999999999995
779,18.17,150.4,0,No Failure,338.30999999999995
1332,56.14,91.5,0,No Failure,324.34999999999997
1870,59.9,75.8,1,Power Failure,330.89
1284,35.78,176.5,1,Heat Dissipation Failure,358.90999999999997
2074,81.81,121.9,1,Power Failure,336.41999999999996
1250,47.75,105.2,0,No Failure,344.45
1726,14.3,121.9,0,No Failure,340.16999999999996
1913,50.34,135.3,0,No Failure,336.7
1708,34.92,111.6,0,No Failure,334.55999999999995
1069,61.31,187.2,0,No Failure,344.82
1220,52.67,190.6,0,No Failure,342.49
1960,36.63,146.9,0,No Failure,336.58
1268,66.03,197.5,0,No Failure,324.13
1891,58.15,115.5,1,Power Failure,338.15999999999997
1399,33.41,156.4,0,No Failure,332.28
1600,42.87,175.3,0,No Failure,329.14
1065,52.24,176.1,1,Heat Dissipation Failure,367.96999999999997
1337,39.9,170.0,0,No Failure,313.14
1244,40.32,152.9,0,No Failure,345.60999999999996
1629,45.51,232.4,1,Tool Wear Failure,321.94
1583,30.08,82.6,0,No Failure,334.85999999999996
1712,13.74,105.7,1,Heat Dissipation Failure,366.53999999999996
1378,48.35,102.1,0,No Failure,320.64
1224,17.16,92.9,0,No Failure,323.74
1614,31.1,0.0,0,No Failure,332.91999999999996
1190,20.2,197.5,1,Tool Wear Failure,322.14
1927,21.92,53.4,0,No Failure,344.64
1510,50.97,125.2,0,No Failure,326.2
1436,41.89,29.7,0,No Failure,341.65
1712,41.38,152.2,0,No Failure,315.87
1523,26.58,67.9,0,No Failure,309.65999999999997
970,35.82,46.8,0,No Failure,330.16999999999996
1178,50.27,126.7,0,No Failure,312.76
1920,44.27,73.0,0,No Failure,352.89
1579,56.52,80.6,0,No Failure,313.26
961,58.51,125.3,0,No Failure,319.65999999999997
1673,41.47,163.0,0,No Failure,338.53
1354,19.07,65.9,0,No Failure,325.53
1244,34.41,55.5,0,No Failure,313.40999999999997
1149,43.63,116.4,0,No Failure,359.66999999999996
1900,34.13,147.4,0,No Failure,320.13
862,30.24,202.8,0,No Failure,330.59999999999997
1257,45.98,50.7,0,No Failure,330.42999999999995
1592,79.02,95.9,1,Power Failure,342.38
2102,38.17,185.5,1,Tool Wear Failure,339.15999999999997
1744,44.96,233.4,1,Tool Wear Failure,322.4
1254,26.63,55.4,0,No Failure,328.90999999999997
2085,62.41,70.7,1,Power Failure,330.2
1076,57.25,137.9,0,No Failure,342.89
1643,56.28,80.3,0,No Failure,317.96
1721,64.04,69.4,1,Power Failure,359.39
1242,39.02,129.7,0,No Failure,323.28
1794,40.77,208.0,1,Tool Wear Failure,333.03999999999996
1370,68.94,36.4,0,No Failure,318.07
1793,53.86,204.9,1,Tool Wear Failure,316.27
906,13.93,80.5,0,No Failure,321.78
1667,51.37,135.7,0,No Failure,320.53
1406,36.86,210.5,0,No Failure,327.76
1952,57.57,134.5,1,Power Failure,320.41999999999996
1535,50.71,97.2,0,No Failure,342.19
1987,20.63,158.1,0,No Failure,322.96999999999997
1728,48.76,104.6,0,No Failure,321.53
1505,47.95,146.3,0,No Failure,328.03999999999996
1826,50.09,102.7,0,No Failure,346.05999999999995
1828,53.06,166.7,0,No Failure,335.94
1715,65.94,31.3,1,Power Failure,331.84999999999997
748,50.79,54.2,0,No Failure,314.52
1206,45.32,30.5,0,No Failure,318.28999999999996
2034,61.07,111.6,1,Power Failure,316.53
1110,76.4,23.2,0,No Failure,350.14
1859,57.81,73.5,1,Power Failure,340.04999999999995
1797,47.89,48.5,0,No Failure,321.95
1296,51.06,203.8,1,Tool Wear Failure,325.80999999999995
852,48.58,55.6,0,No Failure,322.41999999999996
1351,45.26,37.8,0,No Failure,321.63
2277,75.31,129.9,1,Power Failure,339.13
1248,34.51,216.2,1,Tool Wear Failure,329.40999999999997
1272,61.17,108.0,0,No Failure,360.21
1201,43.24,112.7,0,No Failure,349.4
1975,24.27,192.4,1,Tool Wear Failure,350.16999999999996
1465,42.36,167.7,0,No Failure,341.88
1331,37.35,140.5,0,No Failure,327.65999999999997
2045,53.09,80.1,1,Power Failure,340.91999999999996
1753,46.28,142.4,0,No Failure,328.62
1228,30.69,33.4,0,No Failure,354.34
1122,65.59,77.6,0,No Failure,338.40999999999997
1955,60.26,200.9,1,Power Failure,336.55999999999995
1556,67.2,193.1,1,Tool Wear Failure,334.79999999999995
1008,48.32,141.2,0,No Failure,355.77
926,44.5,0.0,0,No Failure,314.51
1159,54.85,42.5,0,No Failure,357.04999999999995
1116,36.92,74.2,0,No Failure,330.72999999999996
834,46.82,104.7,0,No Failure,314.87
1165,42.54,40.0,0,No Failure,323.37
1228,24.55,100.2,0,No Failure,311.69
1388,46.78,221.0,0,No Failure,341.65
2143,38.83,139.1,0,No Failure,319.65
1457,41.6,128.1,0,No Failure,335.34
1491,50.09,53.9,0,No Failure,347.89
1728,62.82,16.7,1,Power Failure,324.40999999999997
1467,33.12,41.3,0,No Failure,329.65999999999997
1690,40.29,14.2,0,No Failure,316.21
1648,34.29,119.5,0,No Failure,328.09999999999997
1593,33.38,138.0,1,Heat Dissipation Failure,366.60999999999996
2518,36.68,57.1,1,Power Failure,343.26
1869,42.25,123.9,0,No Failure,329.71
1171,53.2,203.1,0,No Failure,325.2
1680,49.49,232.5,1,Tool Wear Failure,332.59999999999997
1273,30.2,161.2,0,No Failure,334.84
1706,63.12,104.5,1,Power Failure,327.7
1069,58.22,159.3,0,No Failure,340.03999999999996
1162,32.38,196.1,0,No Failure,320.76
1670,62.14,0.0,0,No Failure,320.69
1899,49.58,203.9,1,Tool Wear Failure,337.96
1726,42.81,82.3,0,No Failure,317.96
1849,50.01,82.9,0,No Failure,342.63
1681,44.64,93.7,0,No Failure,332.96
1610,52.63,134.2,0,No Failure,309.39
1374,47.62,48.3,0,No Failure,334.57
1835,40.28,97.9,0,No Failure,311.24
1909,16.64,146.5,0,No Failure,342.15999999999997
1528,52.38,128.1,0,No Failure,329.91999999999996
1509,39.77,137.8,0,No Failure,357.21
2107,55.89,95.6,1,Power Failure,347.08
1543,51.74,156.6,0,No Failure,319.35999999999996
1576,40.13,178.4,0,No Failure,308.15
1719,59.32,174.8,1,Power Failure,323.33
1516,47.87,140.7,0,No Failure,317.27
1263,47.29,171.3,1,Heat Dissipation Failure,356.88
1682,43.07,167.3,0,No Failure,333.02
1536,68.57,260.0,1,Tool Wear Failure,345.28
2195,35.01,188.1,1,Heat Dissipation Failure,329.44
1826,40.48,109.7,0,No Failure,330.80999999999995
1342,27.68,60.3,0,No Failure,332.72999999999996
1805,55.17,99.3,0,No Failure,347.53999999999996
1658,36.85,95.1,0,No Failure,337.2
2008,38.42,145.7,0,No Failure,319.4
1366,37.76,73.0,0,No Failure,354.24
1616,45.88,186.5,0,No Failure,329.34
1515,27.49,31.6,0,No Failure,327.22999999999996
1570,13.59,17.0,0,No Failure,308.15
1240,51.41,106.9,0,No Failure,341.4
1752,15.41,64.4,0,No Failure,334.46
1696,56.96,39.5,0,No Failure,334.45
2000,66.82,76.8,1,Power Failure,327.90999999999997
1546,42.7,69.3,0,No Failure,325.66999999999996
1406,63.19,115.6,0,No Failure,328.34999999999997
1826,44.66,77.8,0,No Failure,339.16999999999996
1272,67.39,82.7,0,No Failure,341.46
1930,38.61,114.7,0,No Failure,330.15
1929,11.89,175.9,0,No Failure,345.49
1990,43.88,203.2,1,Tool Wear Failure,332.12
1682,68.91,123.9,1,Power Failure,326.59999999999997
1380,52.49,128.5,0,No Failure,335.72999999999996
1588,37.79,104.0,0,No Failure,315.47999999999996
1683,49.6,143.9,0,No Failure,336.17999999999995
1354,58.6,138.4,0,No Failure,313.09999999999997
2017,43.8,194.6,1,Tool Wear Failure,319.78999999999996
1753,81.77,1.7,1,Power Failure,308.15
1238,37.76,100.9,0,No Failure,330.87
2209,59.04,135.4,1,Power Failure,354.08
1584,55.67,113.4,0,No Failure,331.63
1167,35.2,58.6,0,No Failure,341.52
1259,39.06,37.0,1,Heat Dissipation Failure,363.72999999999996
2071,59.25,163.4,1,Power Failure,338.4
2189,47.03,69.6,1,Power Failure,323.2
1903,49.73,9.7,0,No Failure,324.99
2012,22.1,166.4,0,No Failure,333.15999999999997
1976,54.18,142.5,0,No Failure,324.91999999999996
1745,49.02,108.0,0,No Failure,325.89
1665,44.11,60.1,0,No Failure,345.96
1739,50.05,108.2,0,No Failure,346.49
1808,39.27,187.9,0,No Failure,311.74
